_ref,_orderRef,_productRef,name,price,quantity,material,category,imageUrl,subtotal
OI-0001,ORD-0001,PROD-0002,Hexagonal Desk Organizer,18.50,2,PLA,Accessories,/images/products/p2/p2-1.jpg,37.00
OI-0002,ORD-0001,PROD-0004,Adjustable Phone Stand,9.99,3,PLA,Accessories,/images/products/p4/p4-1.jpg,29.97
OI-0003,ORD-0002,PROD-0003,Minimalist Geometric Planter,15.00,3,PLA,Functional,/images/products/p3/p3-1.jpg,45.00
OI-0004,ORD-0003,PROD-0005,Articulated Dinosaur Rex Figure,22.00,4,PLA,Articulated,/images/products/p5/p5-1.jpg,88.00
OI-0005,ORD-0003,PROD-0009,3D Moon Lamp,45.00,2,PETG,Decoration,/images/products/p9/p9-1.jpg,90.00
OI-0006,ORD-0004,PROD-0004,Adjustable Phone Stand,9.99,1,PLA,Accessories,/images/products/p4/p4-1.jpg,9.99
OI-0007,ORD-0004,PROD-0007,Dragon Pencil/Brush Holder,14.50,1,PLA,Accessories,/images/products/p7/p7-1.jpg,14.50
OI-0008,ORD-0005,PROD-0005,Articulated Dinosaur Rex Figure,22.00,2,PLA,Articulated,/images/products/p5/p5-1.jpg,44.00
OI-0009,ORD-0005,PROD-0008,Articulated Classic Car,28.00,1,PLA,Toys,/images/products/p8/p8-1.jpg,28.00
OI-0010,ORD-0005,PROD-0010,Medieval Secret Box,38.00,1,PETG,Functional,/images/products/p10/p10-1.jpg,38.00
OI-0011,ORD-0006,PROD-0006,House Miniature,35.00,2,PETG,Decoration,/images/products/p6/p6-1.jpg,70.00
OI-0012,ORD-0006,PROD-0001,Floral Decorative Vase,12.99,2,PLA,Decoration,/images/products/p1/p1-1.jpg,25.98
OI-0013,ORD-0006,PROD-0009,3D Moon Lamp,45.00,2,PETG,Decoration,/images/products/p9/p9-1.jpg,90.00
OI-0014,ORD-0007,PROD-0004,Adjustable Phone Stand,9.99,1,PLA,Accessories,/images/products/p4/p4-1.jpg,9.99
OI-0015,ORD-0007,PROD-0007,Dragon Pencil/Brush Holder,14.50,1,PLA,Accessories,/images/products/p7/p7-1.jpg,14.50
OI-0016,ORD-0008,PROD-0008,Articulated Classic Car,28.00,2,PLA,Toys,/images/products/p8/p8-1.jpg,56.00
OI-0017,ORD-0008,PROD-0002,Hexagonal Desk Organizer,18.50,1,PLA,Accessories,/images/products/p2/p2-1.jpg,18.50
OI-0018,ORD-0009,PROD-0005,Articulated Dinosaur Rex Figure,22.00,5,PLA,Articulated,/images/products/p5/p5-1.jpg,110.00
OI-0019,ORD-0009,PROD-0008,Articulated Classic Car,28.00,2,PLA,Toys,/images/products/p8/p8-1.jpg,56.00
OI-0020,ORD-0009,PROD-0010,Medieval Secret Box,38.00,1,PETG,Functional,/images/products/p10/p10-1.jpg,38.00
OI-0021,ORD-0010,PROD-0003,Minimalist Geometric Planter,15.00,1,PLA,Functional,/images/products/p3/p3-1.jpg,15.00
OI-0022,ORD-0010,PROD-0007,Dragon Pencil/Brush Holder,14.50,2,PLA,Accessories,/images/products/p7/p7-1.jpg,29.00
