_ref,nameEs,nameEn,slug,price,stock,_categoryRef,material,descriptionEs,descriptionEn,shortDescEs,shortDescEn,widthCm,heightCm,depthCm,weight,printTime,isActive,isFeatured,metaTitleEs,metaTitleEn,metaDescEs,metaDescEn
PROD-0001,Jarrón Decorativo Floral,Floral Decorative Vase,floral-decorative-vase,12.99,23,CAT-0001,PLA,"Jarrón con diseño floral para decoración del hogar. Perfecto para flores artificiales o como pieza decorativa independiente. Diseño elegante que complementa cualquier espacio.","Vase with floral design for home decoration. Perfect for artificial flowers or as a standalone decorative piece. Elegant design that complements any space.",Jarrón floral elegante para decoración,Elegant floral vase for home decor,12,12,18,85,180,true,false,Jarrón Decorativo Floral | 3D Print,Floral Decorative Vase | 3D Print,Compra nuestro jarrón decorativo floral impreso en 3D. Ideal para decorar tu hogar con elegancia.,Buy our 3D printed floral decorative vase. Ideal for decorating your home with elegance.
PROD-0002,Organizador de Escritorio Hexagonal,Hexagonal Desk Organizer,hexagonal-desk-organizer,18.50,27,CAT-0002,PLA,"Organizador hexagonal modular para suministros de oficina y hogar. Sistema de 3 piezas que se conectan entre sí. Perfecto para mantener tu espacio de trabajo ordenado y organizado.","Modular hexagonal organizer for office and home supplies. 3-piece system that connects to each other. Perfect for keeping your workspace neat and organized.",Organizador hexagonal modular de 3 piezas,Modular 3-piece desk organizer,15,13,8,120,240,true,true,Organizador Hexagonal | 3D Print,Hexagonal Desk Organizer | 3D Print,Organizador de escritorio hexagonal impreso en 3D. Sistema modular de 3 piezas para tu oficina.,3D printed hexagonal desk organizer. Modular 3-piece system for your office.
PROD-0003,Macetero Geométrico Minimalista,Minimalist Geometric Planter,minimalist-geometric-planter,15.00,36,CAT-0003,PLA,"Macetero de diseño geométrico para plantas pequeñas. Incluye agujero de drenaje y estética angular moderna. Ideal para suculentas y cactus. Diseño minimalista que resalta la belleza de tus plantas.","Geometric design planter for small plants. Includes drainage hole and modern angular aesthetic. Ideal for succulents and cacti. Minimalist design that highlights the beauty of your plants.",Macetero geométrico moderno con drenaje,Modern geometric planter with drainage,10,10,12,95,150,true,false,Macetero Geométrico | 3D Print,Minimalist Geometric Planter | 3D Print,Macetero geométrico minimalista impreso en 3D. Perfecto para suculentas con sistema de drenaje.,3D printed minimalist geometric planter. Perfect for succulents with drainage system.
PROD-0004,Soporte para Teléfono Ajustable,Adjustable Phone Stand,adjustable-phone-stand,9.99,54,CAT-0002,PLA,"Soporte para smartphone con ángulo ajustable. Compatible con teléfonos de hasta 7 pulgadas. Incluye ranura para gestión de cables. Diseño ergonómico para videollamadas y ver contenido.","Smartphone stand with adjustable angle. Compatible with phones up to 7 inches. Includes cable management slot. Ergonomic design for video calls and content viewing.",Soporte universal ajustable para móvil,Universal adjustable phone holder,8,7,10,45,90,true,true,Soporte Teléfono | 3D Print,Adjustable Phone Stand | 3D Print,Soporte ajustable para teléfono impreso en 3D. Compatible con smartphones hasta 7 pulgadas.,3D printed adjustable phone stand. Compatible with smartphones up to 7 inches.
PROD-0005,Figura de Dinosaurio Rex Articulado,Articulated Dinosaur Rex Figure,articulated-dinosaur-rex-figure,22.00,4,CAT-0004,PLA,"Figura de dinosaurio articulada para colección. 15 articulaciones móviles para poses realistas. Diseño detallado que captura la esencia del T-Rex. Perfecto para coleccionistas y amantes de dinosaurios.","Articulated dinosaur figure for collection. 15 movable joints for realistic poses. Detailed design that captures the essence of T-Rex. Perfect for collectors and dinosaur lovers.",T-Rex poseable con 15 articulaciones,Poseable T-Rex with 15 joints,25,8,15,110,300,true,true,Dinosaurio Articulado | 3D Print,Articulated Dinosaur | 3D Print,Figura de dinosaurio Rex articulado impresa en 3D. 15 puntos de articulación para poses realistas.,3D printed articulated T-Rex figure. 15 articulation points for realistic poses.
PROD-0006,Miniatura de Casa,House Miniature,house-miniature,35.00,13,CAT-0001,PETG,"Miniatura detallada de casa para decoración. Estilo victoriano con techo removible. Perfecta para dioramas o estantes de exhibición. Alta calidad de detalle en cada elemento arquitectónico.","Detailed house miniature for decoration. Victorian style with removable roof. Perfect for dioramas or display shelves. High quality detail in every architectural element.",Miniatura victoriana detallada,Victorian miniature house display,8,10,12,145,360,true,false,Miniatura de Casa | 3D Print,House Miniature | 3D Print,Miniatura de casa victoriana impresa en 3D. Techo removible y alto nivel de detalle.,3D printed Victorian house miniature. Removable roof and high level of detail.
PROD-0007,Porta Lápices Dragón,Dragon Pencil Holder,dragon-pencil-holder,14.50,31,CAT-0002,PLA,"Porta lápices/pinceles con forma de dragón estilizado. Presenta escamas texturizadas y alas detalladas. Ajuste estándar para lápices y pinceles. Diseño único que añade carácter a tu escritorio.","Stylized dragon-shaped pencil holder. Features textured scales and detailed wings. Standard fit for pencils and brushes. Unique design that adds character to your desk.",Organizador en forma de dragón,Dragon-shaped desk organizer,12,8,14,75,165,true,false,Porta Lápices Dragón | 3D Print,Dragon Pencil Holder | 3D Print,Porta lápices en forma de dragón impreso en 3D. Escamas texturizadas y alas detalladas.,3D printed dragon-shaped pencil holder. Textured scales and detailed wings.
PROD-0008,Coche Clásico Articulado,Articulated Classic Car,articulated-classic-car,28.00,15,CAT-0005,PLA,"Coche clásico articulado con ruedas móviles. Diseño vintage de los años 50 con puertas abiertas. Interior detallado y efecto cromado. Juguete coleccionable con múltiples puntos de articulación.","Articulated classic car with moving wheels. 1950s vintage design with opening doors. Detailed interior and chrome-effect details. Collectible toy with multiple articulation points.",Coche vintage con partes móviles,Vintage car with moving parts,18,7,6,90,210,true,true,Coche Clásico | 3D Print,Classic Car | 3D Print,Coche clásico articulado impreso en 3D. Estilo vintage años 50 con múltiples articulaciones.,3D printed articulated classic car. 1950s vintage style with multiple articulations.
PROD-0009,Lámpara Luna 3D,3D Moon Lamp,3d-moon-lamp,45.00,2,CAT-0001,PETG,"Lámpara LED con forma realista de luna. Incluye base recargable USB con atenuador táctil. Textura superficial lunar realista. Iluminación ambiental perfecta para dormitorios y espacios de relajación.","LED night lamp with realistic moon shape. Includes USB rechargeable base with touch dimmer. Realistic lunar surface texture. Ambient lighting perfect for bedrooms and relaxation spaces.",Lámpara luna LED con atenuador,LED moon lamp with touch dimmer,15,15,15,180,420,true,true,Lámpara Luna 3D | 3D Print,3D Moon Lamp | 3D Print,Lámpara en forma de luna impresa en 3D. Base recargable USB y textura lunar realista.,3D printed moon-shaped lamp. USB rechargeable base and realistic lunar texture.
PROD-0010,Caja Secreta Medieval,Medieval Secret Box,medieval-secret-box,38.00,13,CAT-0003,PETG,"Caja secreta con diseño de castillo medieval. Compartimento oculto con mecanismo de puzzle. Ideal para guardar pequeños objetos de valor o como regalo único. Diseño intrincado que desafía a abrirla.","Secret box with medieval castle design. Hidden compartment with puzzle mechanism. Great for storing small valuables or as a unique gift. Intricate design that challenges to open it.",Caja puzzle con compartimento oculto,Puzzle box with hidden compartment,10,10,15,165,390,true,false,Caja Secreta Medieval | 3D Print,Medieval Secret Box | 3D Print,Caja secreta medieval impresa en 3D con mecanismo de puzzle y compartimento oculto.,3D printed medieval secret box with puzzle mechanism and hidden compartment.
